Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded,shortname,30Days,90Days,1Year,30_days_growth,90_days_growth,1_year_growth,context
16-10-2006,Elecon Engineering Company Ltd.,Purchase,Franklin India Group,TEMPLETON MUTUAL FUND ACC,BSE,Block,1229.15,120340,0.0011,ELECON.NS,15-11-2006,14-01-2007,16-10-2007,-73.71,-65.04,-44.24,"Franklin India Group purchased 120340 shares of Elecon Engineering Company Ltd. in their TEMPLETON MUTUAL FUND ACC fund on BSE for the price of 1229.15 . This was a Block deal and after this purchase, the stock showed -73.71% growth in 1 month, -65.04% growth in 3 months and -44.24% growth in 1 year."
24-09-2010,AK Capital Services Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND AC AXIS EQUITY FUND,BSE,Block,485,235000,0.0356,AKCAPIT.BO,24-10-2010,23-12-2010,24-09-2011,17.27,23.16,-60.83,"Axis Group purchased 235000 shares of AK Capital Services Ltd. in their AXIS MUTUAL FUND AC AXIS EQUITY FUND fund on BSE for the price of 485.0 . This was a Block deal and after this purchase, the stock showed 17.27% growth in 1 month, 23.16% growth in 3 months and -60.83% growth in 1 year."
06-10-2010,Consolidated Construction Consortium Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,83,4000000,0.01,-,05-11-2010,04-01-2011,06-10-2011,,,,"Franklin India Group purchased 4000000 shares of Consolidated Construction Consortium Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND fund on NSE for the price of 83.0 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
12-10-2010,Cantabil Retail India Ltd.,Purchase,Axis Group,AXIS BANK LTD.,NSE,Bulk,114.78,110000,0.0013,CANTABIL.NS,11-11-2010,10-01-2011,12-10-2011,-29.14,-43.62,-76.76,"Axis Group purchased 110000 shares of Cantabil Retail India Ltd. in their AXIS BANK LTD. fund on NSE for the price of 114.78 . This was a Bulk deal and after this purchase, the stock showed -29.14% growth in 1 month, -43.62% growth in 3 months and -76.76% growth in 1 year."
12-10-2010,Tecpro Systems Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MF A/C FRANKLIN INDIA A FLEXICAP FUND,NSE,Bulk,409.92,370175,0,ACCEL.BO,11-11-2010,10-01-2011,12-10-2011,93,78.1,0.07,"Franklin India Group purchased 370175 shares of Tecpro Systems Ltd. in their FRANKLIN TEMPLETON MF A/C FRANKLIN INDIA A FLEXICAP FUND fund on NSE for the price of 409.92 . This was a Bulk deal and after this purchase, the stock showed 93.0% growth in 1 month, 78.1% growth in 3 months and 0.07% growth in 1 year."
01-11-2010,Cantabil Retail India Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,70.84,90500,0.0011,CANTABIL.NS,01-12-2010,30-01-2011,01-11-2011,-11.57,-25.74,-66.36,"Axis Group purchased 90500 shares of Cantabil Retail India Ltd. in their AXIS BANK LTD fund on NSE for the price of 70.84 . This was a Bulk deal and after this purchase, the stock showed -11.57% growth in 1 month, -25.74% growth in 3 months and -66.36% growth in 1 year."
14-01-2011,Amtek Auto Ltd.,Purchase,Axis Group,AXIS BANK LIMITED,NSE,Bulk,123.49,1200000,0.0048,-,13-02-2011,14-04-2011,14-01-2012,,,,"Axis Group purchased 1200000 shares of Amtek Auto Ltd. in their AXIS BANK LIMITED fund on NSE for the price of 123.49 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
28-01-2011,Madhucon Projects Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,85.51,550000,0.0075,MADHUCON.NS,27-02-2011,28-04-2011,28-01-2012,8.6,28.6,-29.06,"Axis Group purchased 550000 shares of Madhucon Projects Ltd. in their AXIS BANK LTD fund on NSE for the price of 85.51 . This was a Bulk deal and after this purchase, the stock showed 8.6% growth in 1 month, 28.6% growth in 3 months and -29.06% growth in 1 year."
04-02-2011,Zylog Systems Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,407.28,125000,0.0021,-,06-03-2011,05-05-2011,04-02-2012,,,,"Axis Group purchased 125000 shares of Zylog Systems Ltd. in their AXIS BANK LTD fund on NSE for the price of 407.28 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
24-08-2011,Kemrock Industries and Exports Limited,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,515.85,117650,0,-,23-09-2011,22-11-2011,23-08-2012,,,,"Axis Group purchased 117650 shares of Kemrock Industries and Exports Limited in their AXIS BANK LTD fund on NSE for the price of 515.85 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
13-12-2011,Asian Hotels (East) Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,275,55000,0.0032,AHLEAST.NS,12-01-2012,12-03-2012,12-12-2012,9.09,4.02,-21.16,"Axis Group purchased 55000 shares of Asian Hotels (East) Ltd. in their AXIS BANK LTD fund on NSE for the price of 275.0 . This was a Bulk deal and after this purchase, the stock showed 9.09% growth in 1 month, 4.02% growth in 3 months and -21.16% growth in 1 year."
28-06-2012,Balkrishna Industries Ltd.,Purchase,Franklin India Group,"TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA FLEXICAP FUND, FRANKLIN TEMPLETON INVESTMENT FUNDS",NSE,Bulk,240,1870000,0.0097,BALKRISIND.NS,28-07-2012,26-09-2012,28-06-2013,18.85,16.05,-17.89,"Franklin India Group purchased 1870000 shares of Balkrishna Industries Ltd. in their TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA FLEXICAP FUND, FRANKLIN TEMPLETON INVESTMENT FUNDS fund on NSE for the price of 240.0 . This was a Bulk deal and after this purchase, the stock showed 18.85% growth in 1 month, 16.05% growth in 3 months and -17.89% growth in 1 year."
27-09-2012,Gujarat Pipavav Port Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,50.25,4558260,0.0094,GPPL.NS,27-10-2012,26-12-2012,27-09-2013,-0.6,-6.45,-10.52,"Franklin India Group purchased 4558260 shares of Gujarat Pipavav Port Ltd. in their FRANKLIN TEMPLETON INVESTMENT FUNDS fund on NSE for the price of 50.25 . This was a Bulk deal and after this purchase, the stock showed -0.6% growth in 1 month, -6.45% growth in 3 months and -10.52% growth in 1 year."
11-12-2012,TTK Healthcare Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,NSE,Bulk,540.71,54000,0.0038,TTKHLTCARE.NS,10-01-2013,11-03-2013,11-12-2013,-0.92,-14.72,-7.04,"Axis Group purchased 54000 shares of TTK Healthcare Ltd. in their AXIS MUTUAL FUND fund on NSE for the price of 540.71 . This was a Bulk deal and after this purchase, the stock showed -0.92% growth in 1 month, -14.72% growth in 3 months and -7.04% growth in 1 year."
13-12-2013,TTK Healthcare Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,NSE,Bulk,536.4,150000,0.0106,TTKHLTCARE.NS,12-01-2014,13-03-2014,13-12-2014,0.92,0.41,55.31,"Axis Group purchased 150000 shares of TTK Healthcare Ltd. in their AXIS MUTUAL FUND fund on NSE for the price of 536.4 . This was a Bulk deal and after this purchase, the stock showed 0.92% growth in 1 month, 0.41% growth in 3 months and 55.31% growth in 1 year."
10-04-2014,Aries Agro Ltd.,Purchase,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,61.82,84461,0.0065,ARIES.NS,10-05-2014,09-07-2014,10-04-2015,-6.27,39.54,102.6,"Franklin India Group purchased 84461 shares of Aries Agro Ltd. in their TEMPLETON STOCK GROWTH PRIVATE LIMITED fund on NSE for the price of 61.82 . This was a Bulk deal and after this purchase, the stock showed -6.27% growth in 1 month, 39.54% growth in 3 months and 102.6% growth in 1 year."
23-04-2014,Aries Agro Ltd.,Purchase,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,71.27,110013,0.0085,ARIES.NS,23-05-2014,22-07-2014,23-04-2015,6.07,37.68,87.49,"Franklin India Group purchased 110013 shares of Aries Agro Ltd. in their TEMPLETON STOCK GROWTH PRIVATE LIMITED fund on NSE for the price of 71.27 . This was a Bulk deal and after this purchase, the stock showed 6.07% growth in 1 month, 37.68% growth in 3 months and 87.49% growth in 1 year."
07-05-2014,Aegis Logistics Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT,BSE,Bulk,175,737733,0.0021,AEGISLOG.BO,06-06-2014,05-08-2014,07-05-2015,22.62,100.82,283.23,"Franklin India Group purchased 737733 shares of Aegis Logistics Ltd. in their FRANKLIN TEMPLETON INVESTMENT fund on BSE for the price of 175.0 . This was a Bulk deal and after this purchase, the stock showed 22.62% growth in 1 month, 100.82% growth in 3 months and 283.23% growth in 1 year."
23-05-2014,TV Today Network Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,133,700000,0.0117,TVTODAY.NS,22-06-2014,21-08-2014,23-05-2015,-3.35,18.58,38.74,"Franklin India Group purchased 700000 shares of TV Today Network Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND fund on NSE for the price of 133.0 . This was a Bulk deal and after this purchase, the stock showed -3.35% growth in 1 month, 18.58% growth in 3 months and 38.74% growth in 1 year."
07-07-2014,Aarti Industries Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA PRIMA PLUS,NSE,Bulk,231.72,444023,0.0012,AARTIIND.NS,06-08-2014,05-10-2014,07-07-2015,3.31,19.97,45.7,"Franklin India Group purchased 444023 shares of Aarti Industries Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA PRIMA PLUS fund on NSE for the price of 231.72 . This was a Bulk deal and after this purchase, the stock showed 3.31% growth in 1 month, 19.97% growth in 3 months and 45.7% growth in 1 year."
08-07-2014,M M Forgings Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND A/C INDIA OPPORTUNTIES FUND,NSE,Bulk,237.24,70677,0.0029,MMFL.NS,07-08-2014,06-10-2014,08-07-2015,0.04,95.3,176.6,"Franklin India Group purchased 70677 shares of M M Forgings Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND A/C INDIA OPPORTUNTIES FUND fund on NSE for the price of 237.24 . This was a Bulk deal and after this purchase, the stock showed 0.04% growth in 1 month, 95.3% growth in 3 months and 176.6% growth in 1 year."
25-08-2014,KNR Constructions Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT,BSE,Bulk,238.95,396664,0.0014,KNRCON.NS,24-09-2014,23-11-2014,25-08-2015,31,37.95,121.56,"Franklin India Group purchased 396664 shares of KNR Constructions Ltd. in their FRANKLIN TEMPLETON INVESTMENT fund on BSE for the price of 238.95 . This was a Bulk deal and after this purchase, the stock showed 31.0% growth in 1 month, 37.95% growth in 3 months and 121.56% growth in 1 year."
01-09-2014,Astra Microwave Products Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND A/C AXIS LONG TERM EQ FUND,BSE,Bulk,129.75,1540000,0.0162,ASTRAMICRO.NS,01-10-2014,30-11-2014,01-09-2015,-14.99,-12.99,-15.33,"Axis Group purchased 1540000 shares of Astra Microwave Products Ltd. in their AXIS MUTUAL FUND A/C AXIS LONG TERM EQ FUND fund on BSE for the price of 129.75 . This was a Bulk deal and after this purchase, the stock showed -14.99% growth in 1 month, -12.99% growth in 3 months and -15.33% growth in 1 year."
29-10-2014,Himatsingka Seide Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,93.75,1150000,0.0117,HIMATSEIDE.NS,28-11-2014,27-01-2015,29-10-2015,-8.4,-9.02,122.55,"Franklin India Group purchased 1150000 shares of Himatsingka Seide Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND fund on NSE for the price of 93.75 . This was a Bulk deal and after this purchase, the stock showed -8.4% growth in 1 month, -9.02% growth in 3 months and 122.55% growth in 1 year."
18-11-2014,Shakti Pumps (India) Ltd.,Purchase,Franklin India Group,"FRANKLIN TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA PRIMA PLUS, FRANKLIN TEMPLETON MUTUAL FUND",NSE,Bulk,194.54,334816,0.0182,SHAKTIPUMP.NS,18-12-2014,16-02-2015,18-11-2015,-4.17,12.95,-27.33,"Franklin India Group purchased 334816 shares of Shakti Pumps (India) Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA PRIMA PLUS, FRANKLIN TEMPLETON MUTUAL FUND fund on NSE for the price of 194.54 . This was a Bulk deal and after this purchase, the stock showed -4.17% growth in 1 month, 12.95% growth in 3 months and -27.33% growth in 1 year."
02-03-2015,Ipca Laboratories Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,662,1000000,0.0039,IPCALAB.NS,01-04-2015,31-05-2015,01-03-2016,-4.44,-1.61,-15.13,"Franklin India Group purchased 1000000 shares of Ipca Laboratories Ltd. in their FRANKLIN TEMPLETON INVESTMENT FUNDS fund on NSE for the price of 662.0 . This was a Bulk deal and after this purchase, the stock showed -4.44% growth in 1 month, -1.61% growth in 3 months and -15.13% growth in 1 year."
10-03-2015,Motilal Oswal Financial Services Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,BSE,Bulk,292,2000000,0.0135,MOTILALOFS.NS,09-04-2015,08-06-2015,09-03-2016,6.3,-1.14,-3.47,"Franklin India Group purchased 2000000 shares of Motilal Oswal Financial Services Ltd. in their FRANKLIN TEMPLETON INVESTMENT FUNDS fund on BSE for the price of 292.0 . This was a Bulk deal and after this purchase, the stock showed 6.3% growth in 1 month, -1.14% growth in 3 months and -3.47% growth in 1 year."
16-03-2015,Motilal Oswal Financial Services Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,BSE,Bulk,282,2608000,0.0176,MOTILALOFS.NS,15-04-2015,14-06-2015,15-03-2016,10.02,0.28,-0.69,"Franklin India Group purchased 2608000 shares of Motilal Oswal Financial Services Ltd. in their FRANKLIN TEMPLETON INVESTMENT FUNDS fund on BSE for the price of 282.0 . This was a Bulk deal and after this purchase, the stock showed 10.02% growth in 1 month, 0.28% growth in 3 months and -0.69% growth in 1 year."
02-07-2015,Aditya Birla Fashion and Retail Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MF A/C FRANKLIN INDIA HIGH G CO FD,BSE,Bulk,165,4784239,0.005,ABFRL.NS,01-08-2015,30-09-2015,01-07-2016,21.86,20.31,-22.3,"Franklin India Group purchased 4784239 shares of Aditya Birla Fashion and Retail Ltd. in their FRANKLIN TEMPLETON MF A/C FRANKLIN INDIA HIGH G CO FD fund on BSE for the price of 165.0 . This was a Bulk deal and after this purchase, the stock showed 21.86% growth in 1 month, 20.31% growth in 3 months and -22.3% growth in 1 year."
