,Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded
0,2006-10-16,Elecon Engineering Company Ltd.,Purchase,Franklin India Group,TEMPLETON MUTUAL FUND ACC,BSE,Block,1229.15,120340,0.0011
2,2010-09-24,AK Capital Services Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND AC AXIS EQUITY FUND,BSE,Block,485.0,235000,0.0356
3,2010-10-06,Consolidated Construction Consortium Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,83.0,4000000,0.01
4,2010-10-12,Cantabil Retail India Ltd.,Purchase,Axis Group,AXIS BANK LTD.,NSE,Bulk,114.78,110000,0.0013
6,2010-10-12,Tecpro Systems Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MF A/C FRANKLIN INDIA A FLEXICAP FUND,NSE,Bulk,409.92,370175,0.0
8,2010-11-01,Cantabil Retail India Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,70.84,90500,0.0011
10,2011-01-14,Amtek Auto Ltd.,Purchase,Axis Group,AXIS BANK LIMITED,NSE,Bulk,123.49,1200000,0.0048
12,2011-01-28,Madhucon Projects Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,85.51,550000,0.0075
14,2011-02-04,Zylog Systems Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,407.28,125000,0.0021
15,2011-08-24,Kemrock Industries and Exports Limited,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,515.85,117650,0.0
17,2011-12-13,Asian Hotels (East) Ltd.,Purchase,Axis Group,AXIS BANK LTD,NSE,Bulk,275.0,55000,0.0032
22,2012-06-28,Balkrishna Industries Ltd.,Purchase,Franklin India Group,"TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA FLEXICAP FUND, FRANKLIN TEMPLETON INVESTMENT FUNDS",NSE,Bulk,240.0,1870000,0.0097
24,2012-09-27,Gujarat Pipavav Port Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,50.25,4558260,0.009399999999999999
