,Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded
1,2010-08-03,Everonn Education Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,527.79,125000,0.0052
5,2010-10-12,Cantabil Retail India Ltd.,Sell,Axis Group,AXIS BANK,NSE,Bulk,107.19,126475,0.0015
7,2010-10-21,Elder Pharmaceuticals Ltd.,Sell,Axis Group,AXIS BANK LTD,NSE,Bulk,435.0,167463,0.0
9,2010-12-07,PSL Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,91.3,539394,0.0043
11,2011-01-14,Amtek Auto Ltd.,Sell,Axis Group,AXIS BANK LTD,NSE,Bulk,123.45,1115000,0.0045000000000000005
13,2011-01-28,Madhucon Projects Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,85.5,416500,0.005600000000000001
16,2011-09-08,TD Power Systems Ltd.,Sell,Axis Group,AXIS BANK LTD.,NSE,Bulk,275.02,190878,0.0012
18,2011-12-13,Asian Hotels (East) Ltd.,Sell,Axis Group,AXIS BANK LTD,NSE,Bulk,275.0,60200,0.0034999999999999996
19,2012-01-05,JK Paper Ltd.,Sell,Axis Group,AXIS BANK LTD.,NSE,Bulk,35.37,700000,0.0040999999999999995
20,2012-02-29,Goenka Diamond & Jewels Ltd.,Sell,Axis Group,AXIS BANK,NSE,Bulk,55.0,200000,0.0006
21,2012-03-28,Emmbi Industries Ltd.,Sell,Franklin India Group,TEMPLETON STOCKGROWTH PRIVATE LIMITED,NSE,Bulk,13.1,108175,0.0060999999999999995
23,2012-07-06,Globus Spirits Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,96.0,150151,0.0052
25,2012-10-17,TV18 Broadcast Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND A/C FRANKLIN INDIA FUND NIFT,NSE,Bulk,27.5,1886642,0.0011
27,2013-04-03,Rushil Decor Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,39.97,244315,0.0092
28,2013-04-16,DQ Entertainment (International) Ltd.,Sell,Axis Group,AXIS BANK LTD,NSE,Bulk,9.9,451539,0.005699999999999999
30,2013-12-13,TTK Healthcare Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,NSE,Bulk,536.4,150000,0.0106
33,2014-04-23,Aries Agro Ltd.,Sell,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,68.48,27013,0.0021
36,2014-07-01,Aries Agro Ltd.,Sell,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,80.09,91390,0.006999999999999999
37,2014-07-03,Aries Agro Ltd.,Sell,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,86.7,135699,0.0104
38,2014-07-04,Marico Kaya Enterprises Limited,Sell,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,248.7,108000,0.0
43,2014-09-01,Astra Microwave Products Ltd.,Sell,Axis Group,AXIS MUTUAL FUND A/C AXIS LONG TERM EQ FUND,BSE,Bulk,129.75,1540000,0.016200000000000003
46,2014-12-23,Intellect Design Arena Ltd.,Sell,Franklin India Group,FRANKLIN MUTUAL SERIES FUNDS MUTUAL BEACON FUND,NSE,Bulk,78.76,5886028,0.0431
47,2014-12-24,Intellect Design Arena Ltd.,Sell,Franklin India Group,FRANKLIN MUTUAL SERIES FUNDS MUTUAL BEACON FUND,BSE,Bulk,79.0,630665,0.0046
48,2014-12-29,Subex Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,10.06,1361000,0.0024
52,2015-04-15,Polaris Consulting & Services Ltd.,Sell,Franklin India Group,FRANKLIN MUTUAL SERIES FUNDS MUTUAL BEACON FUND,NSE,Bulk,168.38,549548,0.0053
53,2015-05-11,Helios and Matheson Information Technology Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,29.11,184500,0.0
56,2015-08-04,Renaissance Global Ltd.,Sell,Franklin India Group,TEMPLETON STOCK GROWTH PRIVATE LIMITED,NSE,Bulk,71.01,100000,0.001
57,2015-09-18,SML Isuzu Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,1125.11,210406,0.014499999999999999
60,2015-10-23,Balkrishna Paper Mills Ltd.,Sell,Franklin India Group,TEMPLETONGLOBALTEMPLETONGLOBALINVTTRUSTTEMPLETONEMGMKTSMALLCAPFD,BSE,Bulk,53.6,79759,0.0074
62,2016-02-12,NRB Bearings Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,111.0,528732,0.0055000000000000005
63,2016-03-09,Career Point Ltd.,Sell,Franklin India Group,"FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED A, FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED",NSE,Bulk,100.02,400000,0.022
64,2016-03-29,Sharon Bio-Medicine Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,10.3,631129,0.1097
65,2016-04-05,Career Point Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED,BSE,Bulk,105.01,175000,0.0096
67,2016-05-16,JK Cement Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON INVT FUNDS,NSE,Bulk,579.0,222728,0.0029
69,2016-06-09,Vardhman Textiles Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,847.55,396000,0.0014000000000000002
70,2016-06-22,Career Point Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED,NSE,Bulk,107.0,600000,0.033
72,2016-06-29,Career Point Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED,NSE,Bulk,110.0,175000,0.0096
81,2016-08-23,Agro Tech Foods Ltd.,Sell,Reliance Group,RELIANCE GROWTH FUND,NSE,Bulk,525.0,661735,0.0272
86,2016-10-03,Mahindra EPC Irrigation Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,BSE,Bulk,150.3,517000,0.018500000000000003
92,2016-12-30,Aditya Birla Nuvo Limited,Sell,Reliance Group,"RELIANCE GROWTH FUND, RELIANCE TAX SAVER ELSS FUND, RELIANCE REGULAR SAVING FUND EQUITY OPTION",BSE,Bulk,1366.0,3083200,0.0
95,2017-01-09,TTK Prestige Ltd.,Sell,Axis Group,AXIS LONG TERM EQUITY FUND,BSE,Bulk,5700.0,535036,0.0039000000000000003
97,2017-01-10,PI Industries Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,NSE,Bulk,820.0,4099141,0.027000000000000003
99,2017-01-11,GRUH Finance Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,NSE,Bulk,340.1,7751861,0.0106
101,2017-01-13,Multi Commodity Exchange of India Ltd.,Sell,Axis Group,AXIS LONG TERM EQUITY FUND,BSE,Bulk,1190.0,1767336,0.0347
103,2017-01-18,Quess Corp Ltd.,Sell,Axis Group,AXIS MF LONG TERM EQUITY FUND,NSE,Bulk,675.0,1519956,0.0102
105,2017-01-18,Symphony Ltd.,Sell,Axis Group,AXIS LONG TERM EQUITY FUND,BSE,Bulk,1183.0,1926196,0.0279
107,2017-01-18,TTK Healthcare Ltd.,Sell,Axis Group,AXIS MF LONG TERM EQUITY FUND,NSE,Bulk,885.0,324803,0.023
109,2017-01-18,ZF Commercial Vehicle Control Systems India Ltd.,Sell,Axis Group,AXIS MF LONG TERM EQUITY FUND,NSE,Bulk,5165.7,337562,0.0178
111,2017-01-19,Torrent Power Ltd.,Sell,Axis Group,AXIS MF LONG TERM EQUITY FUND,NSE,Bulk,197.65,11171684,0.0232
113,2017-01-20,PI Industries Ltd.,Sell,Axis Group,AXIS MF LONG TERM EQUITY FUND,NSE,Bulk,843.0,4099141,0.027000000000000003
115,2017-01-23,Bajaj Finance Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,929.25,3925000,0.0064
117,2017-01-23,GRUH Finance Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,330.85,6500000,0.0089
119,2017-01-24,Pidilite Industries Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,635.0,6194655,0.012199999999999999
121,2017-02-01,Ganesh Housing Corporation Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,82.17,257950,0.0031
124,2017-02-07,Prabhat Dairy Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,130.0,2800000,0.0287
125,2017-02-13,Trinethra Infra Ventures Ltd.,Sell,Reliance Group,RELIANCE CAPITAL PARTNERS,BSE,Bulk,0.19,497212,0.0
126,2017-02-14,Trinethra Infra Ventures Ltd.,Sell,Reliance Group,RELIANCE CAPITAL PARTNERS,BSE,Bulk,0.19,169188,0.0
133,2017-03-17,Apar Industries Ltd.,Sell,Franklin India Group,TEMPLETON STRATEGIC EMERGING MARKET FUND III LDC,NSE,Bulk,706.85,3636363,0.09050000000000001
135,2017-03-20,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Block,47.7,120000000,0.031400000000000004
137,2017-03-21,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Block,48.1,120000000,0.031400000000000004
139,2017-03-22,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Bulk,47.25,120000000,0.031400000000000004
141,2017-03-23,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Bulk,47.25,120000000,0.031400000000000004
143,2017-03-24,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Bulk,47.9,120000000,0.031400000000000004
145,2017-03-27,Reliance Power Ltd.,Sell,Reliance Group,RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,BSE,Bulk,48.0,95105324,0.025
147,2017-03-29,Aurionpro Solutions Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,120.0,858000,0.0346
149,2017-03-29,Emco Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,27.3,1943000,0.0286
151,2017-03-29,Kinetic Engineering Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,BSE,Bulk,73.25,715000,0.0323
153,2017-03-29,Man Infraconstruction Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,42.5,2800000,0.0075
155,2017-03-29,Mangalore Chemicals & Fertilizers Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,57.87,5885000,0.049699999999999994
157,2017-03-29,Saregama India Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,NSE,Bulk,242.74,1188000,0.0062
159,2017-03-29,Ventura Textiles Ltd.,Sell,Reliance Group,RELIANCE CAPITAL LTD,BSE,Bulk,5.25,321875,0.0165
161,2017-03-30,Prime Focus Ltd.,Sell,Reliance Group,RELIANCE MEDIAWORKS LIMITED,NSE,Bulk,84.5,209878722,0.7
165,2017-04-17,Tarmat Ltd.,Sell,Franklin India Group,TEMPLETON STOCKGROWTH PRIVATE LIMITED,NSE,Bulk,61.6,12001,0.0006
169,2017-04-26,Parag Milk Foods Ltd.,Sell,Reliance Group,RELIANCE STRATEGIC INVESTMENTS LIMITED,NSE,Bulk,248.0,442426,0.0037
170,2017-04-26,Shakti Pumps (India) Ltd.,Sell,Franklin India Group,FTMF A/C FRANKLIN TEMPLETON PRIMA PLUS,NSE,Bulk,246.35,104430,0.005699999999999999
