longname,shortname
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS
Transport Corporation of India Ltd.,TCI.NS
SBI Life Insurance Company Ltd.,SBILIFE.NS
Timken India Ltd.,TIMKEN.NS
Aavas Financiers Ltd.,AAVAS.NS
Power Mech Projects Ltd.,POWERMECH.NS
Sadbhav Engineering Ltd.,SADBHAV.NS
Max Healthcare Institute Ltd.,MAXHEALTH.NS
Dilip Buildcon Ltd.,DBL.NS
Kalpataru Projects International Ltd.,KPIL.BO
Nilkamal Ltd.,NILKAMAL.NS
Wheels India Ltd.,WHEELS.NS
Sagar Cements Ltd.,SAGCEM.NS
Apar Industries Ltd.,APARINDS.NS
Elecon Engineering Company Ltd.,ELECON.NS
Vesuvius India Ltd.,VESUVIUS.NS
Bata India Ltd.,BATAINDIA.NS
MTAR Technologies Ltd.,MTARTECH.NS
CG Power and Industrial Solutions Ltd.,CGPOWER.NS
Syngene International Ltd.,SYNGENE.NS
Safari Industries (India) Ltd.,SAFARI.NS
Sona BLW Precision Forgings Ltd.,SONACOMS.NS
PVR INOX Ltd.,PVRINOX.NS
SJVN Ltd.,SJVN.NS
Torrent Power Ltd.,TORNTPOWER.NS
CMS Info Systems Ltd.,CMSINFO.NS
Disa India Ltd.,DISAQ.BO
Garware Technical Fibres Ltd.,GARFIBRES.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS
Go Fashion (India) Ltd.,GOCOLORS.NS
Central Depository Services (India) Ltd.,CDSL.NS
Axis Bank Ltd.,AXISBANK.NS
Shriram Finance Ltd.,SHRIRAMFIN.NS
HDFC Asset Management Company Ltd.,HDFCAMC.NS
Krishna Institute of Medical Sciences Ltd.,KIMS.NS
Thyrocare Technologies Ltd.,THYROCARE.NS
Sansera Engineering Ltd.,SANSERA.NS
Landmark Cars Ltd.,LANDMARK.NS
Sapphire Foods India Ltd.,SAPPHIRE.NS
Advanced Enzyme Technologies Ltd.,ADVENZYMES.NS
TD Power Systems Ltd.,TDPOWERSYS.NS
Eris Lifesciences Ltd.,ERIS.NS
United Breweries Ltd.,UBL.NS
Orient Electric Ltd.,ORIENTELEC.NS
Campus Activewear Ltd.,CAMPUS.NS
360 One Wam Ltd.,360ONE.NS
Bikaji Foods International Ltd.,BIKAJI.NS
Inox Wind Ltd.,INOXWIND.NS
