Stock,Institution Name,Client Name,Exchange,Deal type,Action,Date,Avg Price,Quantity,Percentage Traded
Mankind Pharma Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,"285,467",0.07%
Mankind Pharma Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,"285,465",0.07%
Krishna Institute of Medical Sciences Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,2/6/2024,2085,"1,149,074",1.44%
"Tips Industries Ltd.
 10-year high",SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,1/29/2024,380,"6,425,721",5.00%
Tamilnadu Telecommunications Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,1/9/2024,10.85,"427,289",0.94%
VST Industries Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,1/2/2024,3390,"225,000",1.46%
Indiabulls Housing Finance Ltd.,SBI Group,SBI MUTUAL FUND A/C SBI ARBITRAGE OPPORTUNITY FUND,NSE,Bulk,Sell,12/28/2023,218.16,"3,090,600",0.54%
Zydus Wellness Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/28/2023,1632,"390,000",0.61%
Zydus Wellness Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Block,Purchase,12/28/2023,1632,"390,000",0.61%
Astral Ltd.,SBI Group,NATIONAL PENSION SYSTEM (NPS) TRUST SBI,NSE,Block,Purchase,12/20/2023,1889.8,"105,830",0.04%
Grindwell Norton Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/20/2023,2160.25,"1,213,384",1.10%
Grindwell Norton Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,12/20/2023,2160.25,"1,213,230",1.10%
Nippon Life India Asset Management Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,445.35,"3,268,590",0.52%
Nippon Life India Asset Management Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,"3,268,590",0.52%
Nippon Life India Asset Management Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,"2,334,706",0.37%
Nippon Life India Asset Management Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,"2,179,059",0.35%
Embassy Office Parks REIT,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,316,"7,220,894",0.76%
Embassy Office Parks REIT,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,316,"7,179,106",0.76%
Karur Vysya Bank Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/12/2023,162,"7,500,000",0.93%
Karur Vysya Bank Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/12/2023,162,"4,500,000",0.56%
"Swan Energy Ltd.
 10-year high",SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,12/11/2023,461,"1,000,000",0.38%
"Swan Energy Ltd.
 10-year high",SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,12/5/2023,414,"2,000,000",0.76%
